Algorithm: Prim's MST

MST edges:
0 18026 8
0 11 13
11 37042 13
37042 18131 8
0 707 24
707 21594 8
21594 33417 9
33417 4665 1
33417 424 4
424 31167 4
424 26965 6
26965 30600 1
31167 42832 6
30600 28602 14
28602 34540 3
28602 1275 9
1275 41323 9
41323 39103 3
39103 38808 11
42832 9091 14
9091 34173 3
34173 25409 15
25409 35824 5
35824 2105 7
25409 14461 8
14461 2200 9
2200 1302 6
1302 32126 10
1302 31076 11
14461 37373 11
37373 5255 5
5255 10727 5
5255 6572 10
32126 33504 11
2105 1792 15
1792 18453 2
18453 10120 13
10120 1553 3
10120 37313 4
10120 17431 5
17431 7358 3
10120 44016 8
37313 25876 14
25876 21542 2
21542 28049 10
28049 29069 4
21542 39811 11
39811 11144 9
2200 41150 15
41150 13029 15
13029 434 5
434 7309 4
13029 9842 6
434 564 15
564 4884 2
564 10346 14
10346 31092 7
31092 943 15
943 41890 6
943 2245 13
424 35129 16
35129 35675 13
35129 49347 15
49347 31861 5
31861 48574 10
49347 3343 10
31861 12430 12
3343 15177 15
15177 16536 8
5255 24544 16
24544 223 4
223 613 9
613 15371 4
15371 37942 2
613 5569 7
5569 17385 7
15371 7871 9
7871 10237 3
7871 27456 3
7871 49541 3
49541 14479 2
14479 21472 2
49541 25721 2
25721 43648 2
14479 2596 3
49541 46288 7
2596 10969 8
49541 24667 8
17385 26901 10
26901 17309 8
17309 34969 1
17309 2593 2
17309 43986 2
43986 8025 2
2593 42751 11
21472 10488 11
26901 10436 11
10436 680 10
680 42375 2
680 7412 7
7412 44059 7
223 582 12
7871 10104 12
10104 14563 11
43986 37927 12
37927 2750 7
2750 12945 10
24667 2567 13
2567 37474 9
2567 23847 14
10436 43478 14
43478 30012 13
30012 6501 6
6501 7431 1
7431 31917 1
7431 7781 3
30012 19661 8
19661 23459 4
19661 45029 5
45029 2100 5
2100 7876 4
2100 27611 5
23459 46181 6
19661 32155 7
46181 2138 7
2138 6 8
6 16 1
7431 10935 9
10935 1374 3
46181 24968 9
24968 653 3
653 456 8
456 41477 3
456 374 5
41477 12415 5
12415 12965 1
12965 18296 2
374 34660 8
456 28062 8
28062 4946 2
4946 1328 1
4946 19696 1
28062 38539 3
4946 13191 5
1328 39240 6
39240 7395 4
