Algorithm: Prim's MST
19696 39539 6
39539 13522 7
7395 36783 9
374 129 10
31917 39935 10
39935 36943 1
32155 26582 10
26582 34391 8
39240 15290 10
15290 28530 1
28530 41922 6
456 10230 11
19661 16195 11
34391 28316 11
28316 33240 2
12415 5543 12
5543 27122 8
27122 29124 1
5543 6514 10
6514 31233 7
31233 748 3
748 41047 4
31233 49386 4
49386 8728 3
41047 12875 4
8728 3263 5
3263 4382 2
4382 9760 1
3263 29598 4
12875 29826 5
4382 49664 6
31233 45705 9
45705 1174 2
5543 34243 10
34243 4329 7
748 563 11
8728 9542 11
29124 2248 11
4329 33520 12
39539 21127 12
21127 18873 6
49386 4258 12
4258 21749 9
374 30913 13
30913 8150 12
8150 24435 12
1374 1868 13
5543 33814 13
27122 1418 13
1418 49054 10
49054 13570 10
13570 22377 4
22377 3386 12
3386 24675 2
24675 25208 6
25208 33603 2
33603 19752 10
19752 49396 8
3386 37093 13
13570 35519 13
36783 11020 13
11020 44308 6
11020 136 8
136 21231 1
21231 10226 9
10226 59 8
44308 36441 10
36441 2159 2
36441 21696 8
21696 44272 5
44272 48935 9
48935 42816 12
48935 29683 13
6 197 14
197 3257 7
3257 16222 3
3257 45629 8
45629 31612 5
31612 3818 7
3818 26252 11
26252 24019 1
24019 32986 3
32986 14603 3
16222 24937 11
26252 13620 12
13620 15663 5
13620 29676 10
29676 41269 7
3818 34001 13
14603 36431 13
36431 29623 6
36431 11536 11
11536 15692 4
15692 39201 7
39201 8835 3
8835 34374 5
39201 6663 6
6663 9635 6
39201 49748 8
8835 30812 9
49748 18420 9
18420 25494 3
25494 24479 3
24479 48062 3
25494 48100 9
49748 19893 9
9635 8174 11
8174 165 1
8174 48750 10
15692 36862 11
36862 47543 3
47543 6271 1
6271 16444 1
16444 40649 6
40649 46629 6
6271 22255 7
22255 13493 11
13493 36337 6
24479 49650 11
49650 22196 8
30812 43272 12
43272 25259 10
25259 41309 2
41309 48128 5
25259 17350 11
17350 43078 9
43078 15196 5
15196 7083 4
43078 20752 8
20752 44737 7
44737 49896 1
44737 12433 10
12433 19385 2
12433 41498 8
20752 23524 12
34374 1753 12
1753 34694 5
1753 1130 9
1130 13722 5
8835 6086 13
6086 35080 11
12433 29990 13
29990 8593 10
8593 21813 1
8593 18932 9
13493 18382 13
15692 29601 13
26252 38782 13
31612 42036 13
42036 42970 2
563 12510 14
12510 11379 4
11379 11260 10
12510 49553 11
49553 18355 3
49553 28215 6
18355 8391 7
8391 1897 3
1897 16926 3
16926 40496 2
40496 19307 1
8391 10832 4
19307 22077 4
1897 42339 5
1897 43740 5
8391 22359 5
22359 34218 3
43740 39076 5
39076 5949 2
1897 26029 6
26029 17727 6
17727 39432 7
28215 32979 8
34218 30951 8
22077 19403 9
19403 40854 3
19403 7326 9
7326 9854 3
7326 9607 5
9607 19394 2
9607 33695 3
7326 5366 6
5366 14759 6
14759 38206 5
7326 8288 7
5366 26692 9
26692 42768 2
7326 25532 9
25532 37588 6
37588 25216 5
49553 10996 9
9854 32277 10
18355 21976 10
18355 19408 11
19408 7140 6
7140 46801 8
18355 27708 11
7140 9666 12
9666 7497 8
7497 3666 2
7497 22540 9
22540 14592 6
7497 16074 12
26029 18536 12
34218 29789 12
29789 20662 8
20662 23334 9
23334 8139 5
29789 44231 10
20662 27606 11
5366 10403 13
10403 20542 9
20542 47707 3
18355 10680 13
10680 35479 8
35479 9852 2
20542 24625 13
24625 49585 9
22359 11645 13
42339 33798 13
33798 19158 1
33798 34455 12
49553 44240 13
1328 13388 14
13388 5286 1
13388 7012 1
5286 39588 13
2100 31460 14
31460 41743 8
41743 26904 2
26904 43376 13
43376 25837 7
25837 40463 3
25837 7774 7
7774 5213 4
5213 24673 2
25837 26459 9
26459 42459 5
26459 8665 10
8665 44317 6
5949 20253 14
20253 111 5
111 749 8
749 38580 2
38580 31833 5
31833 42400 2
42400 30654 7
30654 21669 7
21669 44346 5
111 14438 10
111 79 11
79 532 3
79 24925 4
24925 5739 5
79 20911 9
20911 22845 8
22845 41239 7
41239 31733 7
31733 45829 1
31733 22806 9
22806 16187 5
22806 35012 7
22806 24390 8
31733 28908 9
45829 32990 10
32990 36446 11
30654 1238 12
1238 10022 6
1238 20364 11
1238 314 12
314 35041 9
35041 44585 12
44585 17424 11
17424 27762 3
17424 16306 5
16306 32240 3
17424 24974 8
24974 27148 8
27148 28783 3
28783 9529 6
9529 5967 4
9529 42684 6
9529 42531 8
5967 31168 9
27762 40560 9
40560 25428 8
24974 15912 10
15912 3820 2
15912 5318 4
5318 18797 2
5318 34142 2
27148 21323 10
21323 9651 4
21323 46032 4
42684 43138 10
43138 19991 3
19991 43651 10
9651 14747 11
16306 12335 11
12335 43180 2
12335 17004 6
16306 41995 11
41995 34530 4
31168 44912 11
44912 44044 1
44044 9486 11
15912 16874 12
44044 6878 12
14438 3877 13
3877 5344 11
5344 9491 8
9491 30433 2
30433 11216 7
30433 37877 8
37877 20965 9
20965 9856 3
20965 29434 9
29434 3302 4
11216 22543 13
32990 42796 13
42796 2032 2
2032 4000 1
4000 27221 3
2032 10640 4
2032 35030 4
35030 36894 6
2032 4016 7
2032 14944 9
14944 29111 3
14944 41012 7
14944 33569 8
33569 23099 7
23099 39601 5
23099 32794 6
35030 28818 9
14944 26951 11
26951 15918 11
15918 37513 6
15918 28994 9
28994 47732 5
36894 8684 11
28994 11461 12
28994 22084 12
22084 16898 5
16898 24585 5
22084 7397 11
7397 49470 1
49470 9243 1
7397 28785 5
28785 2220 3
49470 10429 6
9243 44330 8
44330 1955 2
1955 2188 4
2188 249 2
1955 10143 5
44330 10966 5
44330 35540 8
2188 3138 9
3138 6523 2
7397 581 9
581 5283 7
2220 9005 11
9005 6481 1
9005 30847 2
9005 2130 7
2130 11253 1
6481 4971 10
4971 34638 11
34638 29128 9
34638 993 10
993 49374 2
993 24908 11
4971 43283 11
43283 43585 7
43585 44901 6
43585 16437 8
16437 28187 7
28187 5679 7
5679 25651 10
43283 49255 10
1955 48758 12
48758 18903 3
18903 23119 2
48758 3469 5
3469 44225 9
44225 5185 5
23119 19282 9
19282 4267 1
4267 3284 8
3284 8829 7
3284 41280 9
8829 15282 11
15282 32761 1
15282 39613 2
32761 43251 4
32761 28321 8
28321 32666 3
32666 36299 2
28321 49393 7
36299 14304 10
14304 313 1
313 40599 8
40599 43719 2
40599 41120 6
39613 5764 10
5764 43275 2
43275 17963 2
17963 21141 3
21141 4557 8
43719 30893 10
30893 12211 1
12211 38621 2
38621 31720 3
31720 36750 4
49393 8662 10
313 23002 11
12211 3693 11
3284 44196 12
5185 5373 12
24585 11976 12
11976 25603 4
25603 6646 4
25603 41568 5
41568 25051 8
25051 12235 1
25051 17829 3
17829 26157 2
26157 33096 2
33096 12527 4
25051 29833 5
12235 10651 8
10651 21340 7
6646 9464 9
17829 21736 9
21736 1046 6
1046 39273 5
1046 49982 10
25603 38986 10
38986 16761 8
10651 16378 12
17829 44696 12
44696 41859 6
44696 38930 7
38930 6091 9
28187 28304 12
28785 2697 12
2697 34711 9
34711 30312 5
2697 5863 10
5863 49791 4
30312 1025 11
1025 22172 11
1025 24129 11
24129 30801 1
30801 7674 12
43283 25753 12
25753 40907 7
25753 38895 8
40907 3894 8
49374 35384 12
35384 20764 11
2188 36567 13
36567 41123 1
36567 27041 10
27041 27603 11
4971 46533 13
5764 33367 13
33367 45330 8
45330 49047 3
6091 12789 13
12789 6474 2
6474 3315 3
12789 11933 8
6481 1082 13
1082 14748 13
25051 2998 13
2998 47983 2
2998 5751 6
5751 13698 1
5751 48235 1
13698 28932 1
5751 23559 3
48235 19091 4
5751 30763 5
47983 20009 8
20009 29130 2
29130 7076 2
7076 905 7
23559 1089 9
28932 5161 9
5161 3226 5
5161 1600 6
1600 24178 2
24178 12831 7
1600 19472 9
5161 7988 9
7988 45735 3
45735 12443 2
45735 46443 9
12443 6762 10
6762 34249 7
34249 40350 3
34249 18654 9
19472 3383 10
6762 8412 11
7076 1513 11
1513 42050 2
1513 3520 4
1513 14902 10
3520 2172 11
2172 5019 3
5019 34740 2
5019 47957 9
47957 24560 7
3520 38250 11
19091 39589 11
39589 18304 1
39589 10467 3
10467 43594 5
43594 40959 7
40959 34421 6
34421 9398 4
9398 12398 8
12398 46482 2
46482 29646 8
12398 30443 9
23559 22813 11
22813 11191 3
22813 15703 3
15703 18375 3
18375 42093 7
18375 48397 10
48397 42887 9
42887 4227 10
29646 17170 11
17170 6714 1
17170 22750 7
22750 2552 6
2552 40366 5
40366 27495 3
40366 11886 4
11886 44326 3
40366 48396 5
48396 45388 3
48396 33616 8
44326 9013 10
9013 3697 8
47957 32172 11
1089 34971 12
34971 6561 3
6561 14752 2
6561 25302 4
25302 40416 10
40416 12723 4
12723 5236 1
40416 38441 9
5019 20749 12
20749 45647 1
45647 47564 4
20749 13676 6
20749 3648 11
5751 33556 12
33556 9303 7
9303 21005 1
21005 9986 7
9303 22799 8
21005 21124 9
21124 35847 3
35847 16038 3
16038 8180 6
21124 43273 6
21005 45635 9
21124 5029 9
8180 69 10
9986 27750 11
27750 11977 4
11977 22700 8
22700 46483 7
12723 1928 12
1928 49804 5
49804 38107 8
38107 38396 3
38107 35466 5
35466 30407 3
30407 28230 1
30407 44653 1
28230 11255 5
44653 6880 5
6880 4405 1
4405 5197 5
6880 1367 9
1367 7920 7
7920 36153 4
36153 6450 8
6450 28391 10
28391 26359 2
26359 19931 3
19931 10667 2
10667 43222 6
6880 13459 10
13459 7481 5
7481 34991 6
34991 1433 2
34991 42096 2
42096 20531 1
34991 22619 6
22619 37721 3
1433 2037 7
2037 3559 4
3559 18785 1
20531 4488 8
18785 22941 10
30407 15523 10
15523 28236 1
15523 6412 6
30407 28903 10
30407 32349 10
32349 26581 9
26581 4673 2
4673 47004 1
4673 30832 8
26581 14784 9
14784 14856 1
14856 45850 2
42096 43055 10
47004 17182 10
6450 11044 11
11044 39546 1
11044 26444 2
11044 18757 6
39546 13020 8
26444 23803 9
23803 33131 7
33131 35313 5
35313 8515 6
8515 34314 3
26444 28582 10
35313 44068 10
6450 12194 11
12194 49842 6
11255 10531 11
10531 33003 2
33003 11326 5
11326 8215 5
8215 10328 3
11326 8402 8
8402 32867 7
30407 34857 11
34857 46552 8
46552 40157 2
40157 9256 5
46552 34015 6
34857 5137 10
5137 4599 6
4599 21589 5
4599 8574 10
5137 20514 10
21589 5570 10
5570 39489 9
21589 32792 10
32792 36992 8
36992 27236 3
4599 14962 11
14962 3506 8
3506 37448 3
35466 29755 11
44068 27407 11
27407 46962 11
46962 12143 4
12143 46749 5
46749 12331 9
4673 6767 12
6767 23686 1
6767 17555 3
17555 21380 1
21380 28996 11
28996 22959 8
22959 362 9
362 3840 7
28996 12230 9
5197 3288 12
6412 29099 12
12194 17982 12
17982 29105 7
17982 27363 10
27363 36654 5
29105 216 10
29105 16491 10
16491 46183 7
16491 49074 9
49074 13131 6
13131 6747 6
27363 36320 11
49074 2358 11
2358 3195 2
2358 47915 6
3195 43064 12
43064 39074 3
43064 30110 4
39074 28283 5
43064 29505 9
43064 26972 11
26972 12615 5
30832 24040 12
24040 45150 4
45150 7795 4
24040 15857 10
15857 8783 2
15857 32032 8
15857 43929 8
45150 42421 10
32032 49508 11
32867 4681 12
34971 43600 12
43600 23760 9
23760 46238 12
38250 16857 12
16857 23067 9
23067 33447 9
33447 36799 9
36799 37356 1
49804 33379 12
6561 20215 13
20215 6685 5
6685 4154 7
4154 7476 5
7476 29163 6
6685 35833 11
35833 32934 5
7476 17377 12
32934 29734 12
7481 16460 13
16460 16123 4
16460 30418 9
30418 27592 2
27592 16706 2
30418 10584 6
10584 10125 2
10125 40065 3
10125 881 8
881 1309 2
1309 42522 1
881 44956 8
10125 46960 9
46960 38672 8
38672 31540 9
31540 11121 2
11121 36465 4
16706 4239 11
4239 31864 4
31864 33325 4
30418 19117 11
42522 20386 12
20386 4736 8
4736 3490 11
3490 6830 5
1309 1833 13
1309 36054 13
10531 46144 13
11977 7333 13
7333 20653 8
20653 38060 7
38060 11510 4
7333 44808 9
44808 44914 3
44914 35128 9
12230 17207 13
17207 7761 3
7761 5055 3
5055 12085 3
17207 12661 6
5055 4831 8
12085 8028 8
8028 46761 3
4831 32210 12
17207 16610 12
19931 9076 13
9076 6439 1
6439 3210 3
3210 4022 6
4022 39831 1
39831 2493 2
2493 40828 12
40828 29462 11
29462 4761 7
4761 31903 3
4761 10055 5
6439 4381 12
4381 23162 3
4381 24610 3
4381 26659 4
24610 3358 5
3358 24986 2
23162 62 6
62 477 3
62 21945 9
21945 23949 6
23949 34673 9
34673 4934 6
4934 13610 5
34673 40626 6
34673 1986 8
1986 45706 9
13610 15542 10
15542 26160 2
24986 19364 10
26659 23700 10
26659 33174 10
33174 10376 1
10376 25305 1
25305 41599 3
10376 5225 4
45706 1109 11
25305 32684 12
3210 2311 13
2311 33816 5
3210 23484 13
23484 3114 6
3114 24644 5
24644 39524 1
39524 30358 6
30358 22590 4
30358 29555 8
3114 39778 12
13610 6341 13
6341 27518 12
27518 46434 9
46434 6582 4
6341 5817 13
5817 29907 11
23067 42202 13
42202 20156 3
20156 7258 4
7258 5718 4
5718 24454 3
24454 21755 5
21755 38907 2
42202 43928 6
43928 49751 6
7258 14769 10
14769 42755 2
14769 25263 3
25263 39185 1
25263 35119 10
20156 30992 11
14769 14630 13
14630 32805 3
32805 22631 7
22631 48792 4
29833 21406 13
30312 15633 13
15633 46060 4
46060 15903 5
15903 20037 3
46060 9442 7
9442 4725 2
4725 9120 2
9120 22264 1
22264 34953 4
15633 5535 8
5535 45434 5
45434 19804 1
19804 17082 2
17082 10448 2
45434 4511 2
10448 12046 7
12046 19409 7
19409 31286 1
4725 9188 10
9188 34101 3
9188 47507 7
34101 4543 8
9188 15327 9
47507 26993 9
26993 46741 5
46741 10490 5
10490 4720 5
46741 7614 6
10490 32493 9
15903 45478 10
4543 2080 11
2080 26196 7
17082 24594 11
5535 48853 12
48853 34340 1
48853 36341 11
48853 38705 11
38705 2112 7
2112 3294 2
3294 48850 1
2112 21519 4
21519 10248 2
48850 37292 4
3294 35467 9
2112 32558 10
21519 37393 10
37393 31412 10
31412 46842 3
46842 16930 3
31412 41159 5
41159 42432 2
41159 42725 6
42432 40198 8
40198 15233 1
40198 15770 2
41159 3690 9
3690 22139 7
22139 18371 1
18371 33347 8
33347 38056 1
15233 8419 10
15770 42645 10
16930 13178 10
18371 3242 10
38056 25101 10
25101 27177 10
8419 8184 11
25101 36259 11
36259 46516 4
46516 1230 4
1230 15717 1
15717 29995 1
1230 2980 4
46516 17882 4
29995 37856 5
36259 5488 5
5488 25422 1
25422 37515 7
5488 33674 8
15717 1253 8
1253 34725 3
34725 4383 4
34725 15412 5
1253 16193 6
16193 43805 8
4383 42315 10
5488 7098 10
2980 28181 11
28181 40539 4
40539 15537 3
15537 15854 9
15537 10791 10
10791 22366 7
15854 22912 10
37515 28678 11
15633 1684 12
1684 4159 2
1684 45155 5
45155 48133 8
48133 20568 1
1684 3501 13
3501 32050 7
32050 49151 5
49151 10561 4
49151 20471 6
3501 4427 10
49151 3169 10
10561 43171 11
43171 38578 5
32050 34045 11
32050 15992 12
34045 44236 12
44236 30016 4
44236 17923 12
17923 9300 2
17923 48009 10
48009 17413 4
17413 30550 1
30550 35271 1
35271 11341 4
11341 31115 3
31115 16511 3
17413 30079 7
30550 25606 7
16511 34048 9
25606 6739 11
49151 18973 12
18973 27116 7
27116 13976 10
5535 43571 13
13976 12243 13
12243 32328 10
15412 32406 13
30550 27872 13
30832 20028 13
20028 21329 7
21329 23428 5
23428 18327 9
18327 40354 3
18327 19580 10
40354 44854 12
44854 18758 1
18758 2880 3
2880 41783 1
2880 4410 2
41783 15295 6
15295 2776 4
18758 10642 7
44854 10289 9
10289 6018 3
10289 36004 10
36004 35687 3
35687 27664 7
27664 48063 1
27664 19001 7
44854 7592 10
7592 3032 10
3032 5710 4
3032 28594 11
28594 40701 8
19001 30005 11
30005 39962 7
39962 45575 9
45575 18211 1
18211 28620 9
28620 21772 6
2776 6438 12
2880 37623 12
6438 40671 12
40671 30090 3
30090 45139 9
5710 30493 13
30493 21358 4
21358 9193 1
21358 25312 1
9193 17229 8
17229 31900 1
17229 21634 8
30493 15426 10
15426 29085 3
29085 38761 6
29085 15666 10
31900 24606 10
17229 2578 11
38761 15303 11
2578 1303 13
23428 36492 13
30493 10241 13
33556 17977 13
34971 37825 13
37856 41767 13
41767 11436 6
40198 29707 13
29707 1850 13
29707 33750 13
33750 29118 3
29118 33439 6
33439 3496 5
3496 27657 1
3496 3531 7
33750 14151 10
3496 32476 11
32476 46988 4
3496 35874 11
3496 10681 13
10681 22632 5
22632 40400 6
10681 3416 10
3416 12152 8
12152 25280 4
25280 37261 4
37261 6039 10
6039 12450 10
25280 39696 11
39696 17685 2
17685 15595 1
17685 47231 5
39696 5529 8
5529 7289 4
5529 14674 4
5529 24293 6
24293 31965 2
31965 4017 9
14674 44123 10
24293 14837 10
14837 41557 3
14674 3899 11
3416 9591 12
9591 20384 4
20384 2992 5
20384 16973 5
20384 43271 6
9591 45486 11
39696 7261 12
7261 4272 12
40198 41525 13
40366 38022 13
41012 22436 13
41995 4763 13
42531 19391 13
19391 28333 9
42755 47124 13
42887 19162 13
43222 48373 13
48373 34468 7
34468 12619 10
43273 12446 13
12446 19848 12
19848 25471 2
19848 46661 6
25471 6422 11
43283 767 13
767 12524 5
12524 14260 3
43585 46437 13
46437 31352 9
43600 33560 13
44068 13423 13
13423 20316 5
20316 48539 6
13423 16035 8
16035 41362 5
20316 3707 10
3707 499 2
499 44215 5
499 16892 9
16892 15266 9
15266 21576 4
21576 32565 4
15266 41270 10
41270 413 1
413 45411 7
41362 26889 10
26889 4651 6
4651 42320 5
42320 15753 3
4651 28942 7
413 21260 11
21260 28341 7
28341 9975 11
41270 35222 11
35222 27378 5
499 45654 12
4651 4218 12
4218 16056 7
16056 13691 7
13691 40548 11
16056 3503 11
3503 2187 4
2187 28329 5
4218 11983 12
11983 1103 10
35222 2295 12
2295 19637 9
19637 6792 6
6792 14591 2
6792 228 3
14591 22129 4
14591 46423 7
22129 6097 12
6097 38505 10
4651 3029 13
21260 38547 13
38547 18782 1
38547 15820 8
15820 27397 7
18782 28487 10
44653 36443 13
36443 3016 13
45150 1957 13
1957 44890 7
1957 15036 9
15036 12591 1
45434 27913 13
45850 27014 13
27014 10781 2
10781 10408 5
10781 9752 12
46741 43999 13
43999 30283 4
48063 17337 13
48850 48389 13
49791 21349 13
228 24876 14
24876 45189 4
499 6415 14
6415 39282 3
6415 871 4
871 25581 2
39282 13628 11
13628 22819 1
13628 29241 3
29241 8542 3
8542 13601 6
13601 37906 1
37906 43572 4
43572 47363 1
13601 24799 5
22819 43377 8
29241 36260 8
43377 33753 10
33753 2490 4
2490 27087 8
2490 2348 9
2348 10499 6
2490 14878 10
14878 35968 5
35968 46198 4
24799 1438 12
1438 1772 2
1772 1149 7
1149 45755 8
45755 9337 8
9337 49230 2
1772 49072 9
1149 22767 10
22767 32351 8
49072 5954 10
5954 35720 2
35720 31309 3
22767 40341 11
46198 34267 12
34267 33911 8
33911 8543 8
8543 11797 5
8543 3545 7
3545 27285 10
27285 27078 9
27078 8456 3
8456 12699 10
33911 48465 12
48465 25638 1
25638 40225 4
47363 26938 12
47363 39474 12
27078 26806 13
26806 17276 3
26806 37186 4
37186 30067 10
30067 3445 5
30067 37077 8
37077 10641 7
10641 7447 9
37186 41461 10
41461 21862 7
26806 40798 11
30067 37378 11
37378 25030 4
37378 33134 9
37378 48704 10
48704 17233 1
10641 30201 13
26806 18846 13
30201 40025 13
40025 26178 1
26178 337 2
26178 37579 2
337 13966 3
37579 43181 3
37579 7231 5
26178 29237 6
29237 36296 3
36296 1071 3
1071 11966 4
29237 18308 4
26178 34995 6
34995 46954 5
26178 9153 7
9153 21599 3
21599 48913 7
48913 11522 4
46954 22774 8
22774 13506 4
1071 25046 9
21599 5635 10
337 14865 12
9153 2526 12
2526 22304 4
22304 31176 4
2526 15509 7
15509 6331 11
22774 1132 12
1132 20117 2
1132 35084 7
20117 3628 7
3628 1906 2
1906 24444 4
1132 35048 8
20117 23993 8
23993 11367 4
35048 35237 9
35237 7230 3
35237 42189 9
42189 44876 2
1906 33809 10
1906 40014 11
44876 31880 12
337 361 13
361 46243 3
46243 21058 1
6331 2912 13
2912 241 2
7230 2658 13
13506 42268 13
26178 17819 13
17819 17813 10
17813 40553 12
36260 45026 13
48704 33168 13
905 48438 14
1025 6251 14
1071 41079 14
41079 36759 1
36759 14830 3
1438 34334 14
34334 46642 12
1772 38335 14
38335 11482 1
38335 43638 5
43638 16521 4
16521 9512 3
9512 42193 9
42193 41605 1
11482 48616 13
48616 26718 6
2032 42905 14
2080 3198 14
3198 10442 12
10442 46216 3
10442 47721 9
47721 32265 13
32265 34183 13
2348 11656 14
11656 30608 10
2552 2401 14
2401 11652 11
11652 41293 4
11652 14146 10
14146 18948 6
41293 45458 10
45458 25775 6
25775 31517 1
31517 42732 2
25775 27475 11
27475 28196 11
28196 35993 5
28196 14273 9
14273 10027 5
10027 1122 3
1122 22458 4
22458 429 1
22458 17444 1
1122 13009 5
13009 21773 6
13009 47999 6
17444 12472 6
47999 7255 8
7255 10124 1
10124 12083 9
12472 38915 10
7255 10990 11
10990 25549 4
10990 16304 6
16304 21877 2
16304 11811 10
11811 46128 2
11811 4951 3
46128 39426 3
39426 19197 1
19197 47754 2
47754 46618 1
19197 39130 7
39130 16114 7
16114 23626 2
39130 46096 9
47754 5524 9
5524 3306 5
5524 36949 6
16304 8986 11
16304 16732 11
17444 21125 11
13009 36731 12
21877 16789 12
10027 18849 13
18849 10807 5
18849 47206 5
47206 22616 1
10807 7388 7
7388 10419 6
18849 41591 8
47206 27716 8
10419 22792 9
22792 2867 7
2867 5568 10
10419 16077 13
13009 22380 13
22380 46598 7
46598 9220 11
9220 35692 5
22380 40806 12
16114 11796 13
11796 44152 13
22616 5851 13
5851 25968 5
25968 21221 2
21221 33566 8
5851 8874 9
8874 35795 11
25968 32428 12
32428 17652 10
17652 43153 5
17652 38300 8
23626 45882 13
47754 3980 13
3980 19810 6
2552 17673 14
17673 17684 10
17684 25974 10
17673 41760 13
2992 1818 14
3138 11683 14
11683 4823 11
4823 2420 12
2420 14532 1
14532 25854 4
25854 24445 2
2420 14513 6
14513 44930 5
14532 908 6
908 4785 6
24445 18348 6
18348 30343 1
908 7805 7
2420 2491 7
4785 10340 7
18348 5677 7
2491 808 8
18348 29074 9
24445 6441 10
7805 37157 11
37157 18402 11
2491 3455 14
3455 47670 8
47670 9466 4
9466 9546 5
9546 35561 2
9546 39078 3
9466 21217 8
39078 12660 10
12660 146 10
146 14097 1
146 45031 9
45031 2816 7
2816 16805 2
16805 11175 10
3195 10742 14
10742 26310 2
3226 30492 14
4016 36554 14
36554 23287 1
23287 7659 4
7659 20294 9
20294 36775 4
20294 2668 8
36775 16778 10
2668 25616 12
25616 47689 3
4022 45843 14
45843 48979 13
48979 20966 8
48979 16818 9
16818 12863 4
12863 4208 11
4208 12261 5
4208 43749 8
16818 20494 12
5568 2377 14
2377 4524 13
4524 36882 1
36882 6129 4
6129 1194 7
5718 19546 14
19546 37327 6
37327 34909 10
34909 27080 6
34909 16750 9
5739 47257 14
5817 28253 14
28253 12189 4
12189 7049 13
5851 16937 14
16937 8700 6
8700 26352 7
26352 39967 4
16937 27127 10
39967 6159 12
6159 13452 7
6159 32768 8
13452 4039 11
4039 11554 8
11554 13069 8
13069 5975 4
5975 4426 3
5975 23306 7
4039 37907 10
4426 41892 10
41892 22660 5
5975 8589 12
23306 5506 12
5506 10276 1
41892 14100 12
14100 46029 2
46029 18628 1
18628 31908 9
31908 14650 2
14650 33014 3
46029 4598 10
10276 39680 13
39680 40902 3
40902 5490 5
39680 7906 11
7906 35889 13
35889 17043 1
6018 3270 14
3270 33197 5
33197 46129 12
46129 18432 1
18432 2915 8
2915 30509 4
30509 22098 11
2915 18461 12
6663 35004 14
35004 24259 1
24259 46102 6
46102 27543 1
46102 31146 1
24259 1028 11
1028 26843 11
26843 5242 1
5242 40695 6
26843 13129 9
13129 24058 5
24058 14049 4
13129 29664 8
24058 36064 8
27543 47041 11
47041 48129 4
47041 8008 11
8008 7626 1
7626 37301 7
7626 40558 9
40558 2050 1
27543 16139 13
6762 34908 14
34908 18309 2
18309 47408 1
34908 1825 8
6767 10837 14
10837 2442 1
2442 41959 3
41959 34083 3
34083 16592 6
41959 44645 6
44645 4156 11
7230 15519 14
15519 44194 13
44194 15110 9
15110 31211 3
15110 15899 9
15899 11587 2
11587 45677 8
45677 12589 2
12589 15078 9
31211 18320 10
12589 29110 11
29110 39041 3
39041 16441 6
16441 49832 8
49832 25323 4
25323 45885 2
25323 21728 5
21728 19667 5
45885 40235 5
49832 24423 7
39041 49697 8
49697 49840 6
49840 37636 4
49840 9312 8
16441 13672 10
13672 14144 1
14144 29775 3
13672 32575 6
40235 7114 10
7114 20498 9
45885 29292 10
7114 23602 11
14144 35604 11
23602 40787 11
40787 6172 1
6172 7441 9
7441 40132 6
40132 7681 1
7681 4163 3
4163 29009 1
29009 9603 2
7681 24389 5
29009 35579 5
35579 36403 8
36403 21852 10
21852 31697 5
31697 4979 1
4979 35614 6
35614 48652 7
4979 45852 9
45852 23536 4
4163 5883 11
5883 9903 4
9903 16537 9
16537 49925 1
49925 43214 3
43214 3691 1
43214 27102 10
27102 30038 2
44194 26144 11
