Algorithm: Prim's MST
27578 20517 25
20517 56042 5
20517 49191 9
20517 12184 15
49191 39690 19
12184 10407 20
98491 91275 25
36483 57187 26
41563 29978 26
29978 22077 12
22077 57291 2
57291 55756 6
41733 27346 26
49114 11434 26
11434 60187 20
535 2434 27
16354 87722 27
87722 38911 9
29762 79334 27
79334 43296 4
33172 20172 27
20172 95283 11
95283 48041 8
20172 25883 23
36483 18130 27
18130 15384 16
15384 3807 3
3807 12817 17
18130 19091 19
19091 45381 9
12817 27579 24
53945 51352 27
70292 74803 27
74803 12135 10
79994 68838 27
68838 51128 6
68838 54345 16
68838 54093 20
54093 42141 13
42141 67655 13
67655 59312 9
59312 72153 10
42141 16701 15
42141 32449 21
32449 33383 3
33383 30184 8
32449 49995 15
49995 22926 15
22926 62871 20
32449 63025 21
63025 17062 11
54345 60089 21
33383 98120 25
81530 38208 27
96128 86473 27
86473 61598 2
61598 91958 14
61598 72619 18
11434 67869 28
67869 68341 13
68341 44544 17
67869 1881 20
44544 12355 21
12355 77794 18
77794 85790 15
85790 27599 9
85790 18198 12
18198 7536 17
7536 2770 7
18198 67585 17
67585 95770 7
67585 34090 10
2770 8213 19
8213 93308 18
2770 37070 19
37070 81805 23
81805 2588 17
2588 83070 3
2588 35033 4
83070 68057 13
35033 99210 14
99210 50713 1
50713 48644 6
48644 68159 10
99210 84540 14
2588 4672 15
4672 53198 13
4672 52247 18
84540 79494 18
48644 42342 19
68159 1258 21
1258 4656 6
1258 40960 10
1258 27363 11
27363 3441 9
27363 94991 13
3441 549 14
549 71885 1
71885 63547 7
549 7729 8
71885 48916 10
7729 62999 11
40960 40943 14
62999 22065 15
4656 44925 16
549 2017 17
44925 89360 17
89360 65093 6
65093 65551 17
40943 30883 18
549 141 19
141 157 21
157 39956 3
157 2117 6
2117 64869 7
2117 8866 20
8866 79110 18
2117 43972 20
1258 53811 21
2588 4775 22
39956 92263 22
30883 28879 23
62999 17886 23
17886 26745 16
26745 27877 1
26745 85184 5
26745 44284 7
44284 66539 11
17886 35047 18
63547 45989 23
141 27099 25
27099 31028 6
27099 40672 18
27599 23651 25
40943 94464 25
84540 70368 25
141 10020 26
10020 3788 25
3788 14657 17
14657 24631 7
14657 71373 9
24631 42439 9
3788 48570 22
14657 57376 25
549 53959 26
53959 94069 16
2117 88034 26
88034 68954 16
68954 88255 3
68954 94143 5
68954 89832 13
89832 69763 5
89832 45295 8
69763 59307 11
45295 98633 12
98633 30103 12
157 68381 27
2588 1938 27
1938 34887 25
34887 24857 26
24857 7865 26
12355 52532 27
52532 26894 8
26894 91626 3
26894 31833 21
31833 35018 11
17886 19181 27
19181 28863 16
28863 23730 24
28879 34224 28
34224 38722 19
38722 59848 5
38722 86730 10
38722 47294 13
47294 52884 13
52884 27018 2
59848 33689 19
33689 70357 18
27018 50258 24
50258 71253 2
71253 69987 10
69987 53175 18
53175 62525 16
33689 99180 26
99180 50262 16
99180 50161 22
50161 23437 2
32449 45556 28
45556 6630 20
33172 36141 28
35033 55230 28
55230 57609 21
57609 62913 2
57609 37184 3
62913 4054 13
4054 3444 3
3444 3769 8
3769 6724 5
4054 31938 8
31938 55787 11
4054 66501 12
3769 40983 14
6724 44648 14
40983 68242 18
40983 89658 22
89658 4650 10
89658 89523 17
89523 8227 12
89658 89875 21
89875 66141 6
66141 98614 6
4650 15466 24
15466 13476 7
6724 44538 24
15466 8582 24
8582 29625 13
31938 79731 25
79731 2509 1
79731 18993 14
18993 8250 9
79731 43228 18
43228 56988 3
43228 79591 9
18993 65195 20
65195 34998 3
34998 12982 19
12982 11886 2
11886 58329 16
58329 44259 17
34998 75654 20
75654 69695 7
69695 46094 18
69695 80865 20
80865 84278 6
84278 97932 12
97932 79640 21
62913 84027 25
62913 85162 25
75654 53257 25
4054 40388 26
66501 62691 26
62691 46570 12
43228 89786 27
8227 3786 28
3786 9829 15
9829 30125 1
30125 88903 2
9829 24559 4
9829 9961 19
9961 8178 23
8178 14506 8
14506 54389 7
8178 85815 17
85815 46819 14
14506 52248 20
52248 58293 17
58293 31044 5
58293 71577 8
71577 60080 9
31044 64449 10
64449 63088 22
63088 90570 3
31044 23800 23
23800 54986 13
9961 78219 25
78219 11077 17
11077 181 2
181 145 6
145 1334 5
1334 15767 2
15767 21558 1
15767 22403 3
15767 47116 3
1334 59250 4
21558 72149 5
59250 83888 5
47116 33640 7
181 565 11
21558 25652 11
145 896 15
896 22741 3
896 1118 6
1118 70963 7
22741 87758 11
87758 92836 10
83888 46238 17
46238 68255 5
78219 47279 21
565 70329 22
1118 51702 24
52248 48783 26
48783 52929 1
48783 61078 17
3786 1964 27
1964 11860 4
1964 40348 4
40348 68693 18
68693 95017 15
95017 50392 1
50392 42689 8
50392 16080 10
16080 17987 13
42689 59257 16
1964 5832 20
5832 11104 11
11104 57391 9
5832 33137 14
33137 4225 15
4225 1412 3
1412 23451 3
1412 35604 8
57391 34861 17
34861 7679 16
59257 6377 20
7679 7979 21
7979 6936 9
7979 96428 20
96428 77853 7
96428 75997 20
11104 3934 21
3934 69868 12
3934 16109 15
16109 42809 22
42809 69884 16
42809 59726 17
59726 33385 4
33385 54293 1
33385 59656 5
59656 60731 3
33385 75377 5
54293 2530 5
59656 62748 10
62748 79993 8
60731 62196 11
2530 29422 12
42809 87421 19
87421 49716 10
49716 63757 14
87421 31653 15
31653 10284 9
10284 10819 4
10819 7166 10
10284 32215 18
32215 32031 2
49716 45086 18
45086 58097 5
79993 20703 19
20703 7879 7
68693 29263 22
29263 5236 4
29263 94056 9
94056 47249 11
47249 80734 2
5236 4298 14
4298 59928 15
5236 93226 17
94056 22478 19
22478 55956 12
55956 38318 16
4298 5894 20
5894 82848 18
5894 19162 20
7879 9702 23
34861 3759 23
3759 88614 2
3759 1057 5
3759 29304 6
3759 10138 8
10138 12473 2
10138 12489 3
12489 8961 3
12489 13801 3
10138 21793 5
12489 24768 16
12473 54406 17
54406 92268 11
12489 22464 18
8961 491 19
491 55207 9
55207 96585 11
491 203 18
203 3020 1
203 87539 4
87539 33485 10
203 46 13
46 22777 8
22777 4725 6
22777 13224 7
46 1315 12
1315 30392 2
1315 20493 11
203 15954 14
1315 80640 16
203 99025 20
46 531 21
531 26081 4
531 91995 6
531 28139 17
28139 32737 14
531 38500 20
38500 34534 4
34534 5982 6
5982 3378 4
38500 65080 6
3378 49886 12
3378 6166 13
6166 6173 10
6173 20073 2
6173 36435 8
5982 28979 16
28979 15279 16
15279 76768 6
15279 64093 17
76768 79904 17
15279 70902 18
70902 39633 3
70902 41355 4
41355 29870 6
29870 16179 6
16179 43603 1
39633 25503 7
25503 88395 3
16179 82187 14
82187 25288 14
25288 27547 11
70902 33165 15
34534 18818 18
18818 36011 17
36011 22341 5
22341 10607 7
28979 67464 23
67464 14920 16
50392 90126 23
90126 32011 7
32011 41123 15
75997 594 23
594 71 3
71 29298 14
29298 83435 11
71 1072 16
594 22556 16
71 177 17
177 19252 16
594 99072 18
22556 53438 20
53438 1837 14
1837 14259 13
14259 24424 16
71 11 21
11 308 21
308 1332 1
308 4988 1
1332 6134 2
308 14088 6
6134 87238 7
14088 79687 8
4988 48006 10
308 75497 11
48006 20499 13
20499 52856 2
79687 49665 13
49665 25411 1
25411 40459 11
87238 99451 15
40459 83417 19
83417 37090 18
83417 98010 19
20499 27088 20
27088 16609 6
1072 82286 21
11 12190 22
6134 12011 22
12190 56014 22
87238 95557 22
594 40649 23
40649 47672 10
40649 72434 11
40649 5602 21
5602 82491 4
82491 27602 18
27602 90344 6
75497 82882 23
82882 19520 3
19520 34892 7
19520 36233 8
19520 7232 23
79687 30440 23
30440 16379 10
82848 74537 23
46 389 24
389 2798 8
2798 78157 21
78157 84369 17
84369 55594 3
84369 59470 13
59470 5133 5
55594 38967 19
38967 32459 8
1315 1489 24
1489 20542 22
20542 75174 6
20542 876 15
1489 43488 22
876 23008 24
1412 70616 24
3378 1646 24
1646 5626 10
5626 11012 11
5626 43238 14
43238 56604 8
5626 50214 23
4298 45424 24
5133 10129 24
10129 57403 1
10129 33084 14
33084 26768 2
26768 3814 12
3814 452 2
452 63166 14
63166 8039 16
8039 86899 11
8039 8605 14
452 60666 21
60666 70415 12
8605 40258 23
40258 8573 1
33084 3526 23
3526 925 4
925 5936 2
925 16862 8
925 4273 13
5936 97738 14
5936 20886 15
3526 72319 17
5936 41243 17
41243 29962 1
29962 88600 6
41243 44484 8
44484 95000 12
95000 81517 2
88600 40670 12
72319 47637 17
47637 15140 9
15140 51222 5
20886 24482 18
72319 61855 18
61855 13105 18
13105 93356 11
16862 55632 20
3526 98274 21
98274 57117 7
47637 32890 21
32890 97472 10
97472 72126 3
72126 38240 21
47637 34694 22
34694 45891 11
45891 90626 3
88600 52638 23
18818 29223 24
20886 5517 24
5517 4367 15
5517 60626 18
60626 72785 6
60626 41794 16
41794 99848 20
5517 54901 21
54901 8650 15
4367 480 22
480 11869 1
480 34339 2
11869 2700 2
34339 33122 12
33122 26035 13
26035 19857 9
2700 88537 20
480 11520 21
11520 47907 1
47907 54387 13
47907 87065 18
54901 59498 22
59498 80343 9
80343 20140 18
22777 21869 24
21869 40350 4
21869 16443 20
16443 35491 4
29962 37029 24
37029 46290 23
29962 84329 24
84329 22438 18
84329 57587 19
57587 25671 21
45891 17308 24
17308 91069 3
17308 40820 6
40820 39804 5
17308 44242 10
39804 95970 15
83435 23445 24
23445 90351 15
90351 40976 16
40976 18119 15
23445 24452 23
24452 90661 21
24452 64450 22
64450 49325 5
49325 75721 6
88537 15079 24
15079 86462 9
86462 14262 11
15079 1276 21
1276 283 7
1276 8587 7
1276 1863 15
1863 10422 13
1863 29789 15
283 10145 16
10145 8217 7
29789 99713 20
10145 28996 21
28996 15737 15
283 76836 23
76836 12146 17
12146 33103 18
33103 19065 14
19065 16928 17
308 402 25
402 1046 25
531 670 25
670 2908 2
2908 7694 5
670 5863 6
2908 14548 7
14548 66551 3
2908 9860 10
14548 63443 10
63443 49661 4
5863 46540 11
46540 52984 1
66551 51335 13
5863 76969 17
76969 209 11
209 4831 12
4831 11805 7
11805 73912 2
4831 89972 7
4831 13960 13
13960 62469 2
13960 83123 6
83123 31730 6
62469 46007 9
5863 84430 17
209 234 18
234 2469 8
2469 8552 3
2469 6751 6
6751 20088 15
8552 40816 16
40816 9647 3
7694 22886 18
11805 1262 19
1262 4167 6
1262 90634 13
31730 55244 20
51335 47156 20
47156 57821 20
57821 71912 8
57821 45916 14
45916 22991 15
22991 26648 12
26648 45279 15
45279 15304 9
26648 58817 16
58817 38285 4
58817 85566 8
84430 85186 21
85186 57743 6
57743 41536 2
41536 14935 18
14935 38427 5
14935 49916 19
14935 36712 22
89972 26632 22
14548 73521 23
73521 51814 17
51814 66024 23
40816 24309 24
24309 57962 5
57962 23038 2
24309 16173 6
16173 3439 2
3439 8243 2
8243 23898 11
8243 34410 16
34410 11003 1
34410 98139 20
62469 87042 24
1262 35431 25
35431 37037 19
37037 68512 18
37037 80337 24
4988 47061 25
5894 27778 25
27778 48538 3
48538 65625 17
48538 50093 19
50093 58505 3
50093 20844 9
14920 82169 25
82169 92872 23
16080 52970 25
52970 4555 6
52970 72750 18
72750 68149 12
22777 53706 25
25411 94267 25
28139 17048 25
33103 4661 25
4661 17969 19
17969 4090 19
4090 21201 9
21201 98420 13
98420 71856 4
71856 32126 12
32126 19276 7
19276 10901 4
10901 36513 5
10901 80505 9
32126 57484 12
4090 32516 19
32516 73896 10
36513 61268 21
61268 4074 14
4074 34786 2
4661 82118 23
57484 58249 24
58249 20725 8
58249 68635 12
58249 68760 21
68760 18023 6
33103 33143 25
33143 79831 21
79831 7651 16
7651 16134 4
7651 79655 12
79655 89354 3
41794 10738 25
47156 10839 25
10839 42508 21
42508 32799 19
32799 78744 5
78744 74258 7
74258 4032 6
4032 9834 9
9834 52003 4
9834 68814 7
74258 83412 11
68814 42356 12
42356 82772 11
74258 97707 13
97707 46400 6
97707 64590 10
64590 65500 10
32799 94342 16
52003 55052 16
55052 68347 16
78744 74358 16
74358 96559 4
96559 59499 8
74358 69262 12
69262 70331 12
74358 78483 15
78483 53845 15
53845 7515 6
94342 2222 16
2222 73661 15
73661 40277 19
2222 8167 22
8167 17115 15
17115 75638 17
75638 53820 10
53820 84857 9
17115 81281 19
4032 10359 24
10359 75110 18
10359 58088 22
58088 55328 12
55328 9879 21
55328 61035 21
61035 45633 6
45633 99842 5
68814 85040 24
69262 45228 24
45228 509 24
509 10585 12
509 39323 20
10585 54327 24
17115 66490 25
47249 81300 25
81300 44975 7
44975 25868 3
44975 47790 9
53438 56309 25
54406 84810 25
57587 6232 25
80337 88517 25
88517 29594 10
29594 34103 7
34103 86137 19
88517 24860 22
24860 3333 1
3333 14062 5
3333 631 19
631 885 21
885 45072 1
885 49276 18
49276 8326 1
8326 96372 12
96372 16007 4
45072 80405 21
885 83514 23
83514 53732 13
53732 48670 7
48670 47865 7
3333 13045 23
13045 4867 20
4867 2501 12
4867 41637 14
41637 68531 17
68531 44725 9
2501 10997 21
4867 32607 23
32607 80569 5
10997 92955 23
14062 6200 23
16007 50585 24
631 10716 25
10716 77236 9
77236 96016 16
96016 34487 10
96016 7028 19
7028 28725 2
7028 3014 3
3014 65058 8
28725 22237 14
22237 6496 9
6496 28300 10
28300 59149 7
7028 26902 16
65058 87006 16
28725 32347 17
22237 33745 18
33745 93651 3
28300 52895 18
28725 69061 18
69061 52437 11
69061 11585 17
11585 5556 5
5556 42608 3
52437 65654 18
59149 68552 20
7028 20837 21
32347 18838 21
5556 64829 22
6496 70949 22
6496 46524 23
46524 30004 11
30004 41244 18
18838 34807 23
65654 69337 24
69337 1260 24
1260 34111 3
34111 40180 20
82118 25569 25
25569 99055 1
25569 42818 6
25569 77287 18
77287 4495 1
4495 3494 4
4495 36273 7
36273 49215 11
77287 3342 13
3342 4422 13
4422 7724 2
7724 54543 7
54543 81133 12
3342 19421 14
36273 37753 14
37753 53624 4
53624 87405 13
3342 4277 17
4277 72192 7
72192 95050 11
95050 90758 2
95050 32915 4
3494 382 17
382 11752 6
382 34610 9
382 26596 12
34610 85089 14
85089 17674 7
85089 82762 7
17674 39238 12
82762 95805 16
95805 46250 3
95805 95402 7
382 431 17
99055 11281 18
11281 12804 5
12804 16925 12
16925 51172 2
3494 3323 19
3323 16141 2
3323 21238 4
16141 49446 12
3323 24440 14
24440 34382 13
32915 31478 19
31478 63759 11
382 4334 20
4334 6264 2
4334 4379 13
4379 37545 1
4334 23633 20
11752 30817 20
25569 8422 20
8422 4340 9
4340 4035 1
4340 14799 15
14799 65940 13
65940 38787 4
38787 54305 4
54305 51310 1
51310 69029 3
51310 51828 15
8422 19107 19
19107 43550 19
43550 37351 9
38787 75026 19
75026 31092 11
51310 99997 19
99997 64542 14
64542 65796 17
99997 37103 17
37351 9498 20
9498 36940 5
7724 65910 22
65910 93897 5
93897 77540 16
77540 34499 6
11281 8215 22
8215 12270 11
12270 42769 1
12270 90687 2
90687 14040 5
42769 29222 7
14040 79751 12
79751 22225 1
79751 32744 2
22225 15178 6
15178 33638 5
33638 85110 2
79751 19060 7
19060 2009 8
2009 15951 6
15951 6147 1
6147 48805 1
33638 1937 8
6147 71041 9
29222 63226 14
14040 6843 15
6843 85565 7
85565 86696 8
19060 87723 17
22225 74502 17
29222 6431 18
86696 76529 18
76529 82840 17
82840 97259 9
86696 74448 19
90687 95382 19
6431 2092 20
2092 3430 20
3430 45768 7
45768 10898 3
45768 13213 15
13213 80559 20
2009 2630 21
23633 40303 22
38787 32872 22
32872 60942 5
60942 2620 7
60942 165 12
2620 77611 13
60942 8931 15
8931 78480 1
165 567 19
567 7780 1
7780 53045 1
53045 95226 9
7780 36256 15
36256 28207 6
567 87853 16
87853 8832 9
8832 696 5
696 33325 4
33325 81500 6
33325 84582 6
81500 10632 13
10632 79370 11
79370 20423 6
20423 10195 12
10195 11671 3
10195 1264 6
10632 6028 14
6028 4582 5
4582 65202 8
6028 16114 10
16114 18946 14
33325 84 14
84 2554 10
2554 4815 13
79370 77391 14
84 82210 15
16114 70333 15
87853 38971 15
1264 23 17
23 985 8
23 31581 9
985 10675 9
985 1362 12
1362 12458 3
1362 69496 3
69496 52978 8
23 43 14
43 18684 9
43 612 13
84 11566 18
11566 10736 7
11566 65119 11
65119 68756 9
567 7971 18
7971 80611 4
82210 71898 18
567 5695 19
5695 57366 10
4815 55277 19
55277 6860 5
6860 16651 7
16651 63314 3
16651 17609 14
17609 41625 4
41625 30641 9
30641 18187 3
18187 5443 4
5443 67563 2
18187 36905 9
41625 83455 10
16651 68951 15
6860 84346 17
6860 917 18
16651 47317 18
47317 81460 1
5695 21547 19
21547 37141 18
12458 79825 19
79825 25197 3
25197 39715 9
79825 50478 13
20423 54962 19
53045 6177 19
6177 83224 9
6177 89445 18
89445 72158 17
72158 40842 7
72158 75649 8
40842 8563 16
8563 4011 1
8563 40708 10
4011 45781 17
45781 85607 6
45781 91225 9
45781 74764 10
91225 48104 17
48104 64966 14
64966 21257 8
48104 44062 18
44062 39389 19
68951 580 19
580 271 15
271 2439 17
580 20405 19
696 29011 20
10736 22966 20
84346 60031 20
1264 51084 21
1264 97402 21
97402 3946 4
12458 94844 21
94844 93417 15
22966 97998 21
33325 92728 21
57366 27171 21
27171 24646 12
24646 10568 15
24646 42137 20
4582 96111 22
96111 80467 13
77611 83692 22
83692 24300 15
24300 83330 15
93417 62241 22
382 9938 23
1362 44426 23
1362 62035 23
62035 24020 7
62035 77299 18
2630 8846 23
8846 80723 3
80723 55084 4
80723 83496 7
83496 1341 16
1341 7405 2
1341 72246 6
7405 64090 15
8846 35093 22
35093 18100 8
35093 85545 19
5443 20931 23
20931 91409 21
11752 8359 23
8359 5531 3
5531 32673 22
32673 5908 20
5908 66749 10
17609 35294 23
37141 45340 23
44062 36342 23
36342 90919 1
54543 56279 23
79370 77871 23
79825 33291 23
80467 7795 23
7795 13416 14
13416 89157 21
95226 46221 23
46221 71504 22
97259 46856 23
612 43673 24
43673 38567 19
2554 6685 24
8832 88429 24
11671 24448 24
24448 65264 3
24448 22267 10
65264 86039 11
24448 78147 15
65264 43527 18
13213 16040 24
16040 24033 20
17674 74972 24
39238 27457 24
27457 3140 8
3140 6778 7
3140 4513 15
4513 52980 21
52980 61008 23
40708 54537 24
54537 22706 3
22706 34664 1
52980 54478 24
54478 7996 16
7996 3322 1
60031 31460 24
31460 74251 12
74251 79729 13
74251 12766 18
12766 40147 5
40147 63811 20
75649 52131 24
52131 37044 5
52131 70531 5
37044 45783 11
45783 57350 11
57350 1212 12
1212 1473 2
1212 18551 6
18551 27191 3
1212 21 11
21 7564 2
21 2106 10
21 92681 10
21 61404 11
61404 58111 9
45783 47531 13
57350 11331 14
11331 73500 5
73500 39388 11
39388 72933 11
2106 30507 15
2106 33846 15
33846 35591 12
35591 46236 11
46236 45189 1
45189 80652 13
30507 72318 15
21 69 16
69 139 5
139 457 3
69 2172 10
139 31417 13
2172 16072 16
16072 65608 11
18551 65397 16
21 559 17
559 54703 11
54703 6819 13
6819 42544 2
16072 4396 18
4396 20515 22
20515 15543 2
20515 48208 5
15543 8095 13
8095 40231 22
40231 97857 19
97857 43435 10
43435 27769 16
43435 48941 18
43435 57523 22
57523 20738 5
20738 18615 2
57523 99750 6
20738 95963 9
99750 65436 13
18615 10349 14
18615 21021 14
21021 58529 6
65436 37594 18
37594 87612 17
10349 34973 21
20738 87046 22
57523 11912 22
11912 24721 13
11912 2068 17
2068 16676 5
2068 43739 8
2068 5208 14
5208 34310 18
34310 74430 4
34310 56263 12
2068 54113 20
1212 93527 23
93527 48331 10
48331 31589 2
48331 48093 6
48331 6190 19
6190 2847 16
2172 96266 23
96266 44194 22
139 3964 24
3964 76429 5
76429 49128 5
3964 6798 12
6798 22905 7
22905 45100 10
45100 41624 22
41624 92254 7
41624 1025 10
1025 74605 14
1025 6980 18
6980 84301 3
6980 52330 14
52330 57695 10
57695 77940 9
77940 22112 7
77940 89638 7
77940 31849 11
6980 20136 20
20136 50196 3
50196 97393 22
31849 41086 24
41086 25750 12
25750 24796 4
25750 96292 4
96292 90843 10
24796 97534 14
90843 6621 20
6621 4942 1
6621 5536 10
5536 8489 9
8489 75140 1
75140 34901 4
8489 9532 10
9532 14059 3
14059 38594 4
38594 55575 10
5536 4702 13
4702 82832 4
9532 20291 13
20291 54947 3
55575 28238 15
6621 99185 18
99185 52220 5
52220 65062 2
65062 84452 12
4942 2446 19
2446 31470 6
2446 34127 10
34127 33620 9
34127 96755 9
31470 34987 17
8489 38708 19
38708 99962 3
99962 55552 14
55552 28921 9
28921 38468 4
52220 17327 19
17327 81863 1
99962 35774 19
81863 45784 20
45784 3121 20
3121 20991 4
20991 18371 11
3121 23460 13
23460 58914 15
18371 26635 21
25750 53653 22
33620 4209 23
4702 32050 24
17327 27915 24
27915 13177 4
27915 31306 17
31306 54990 4
42544 82847 24
96755 61639 24
61639 82235 19
97998 46558 24
97998 58468 24
58468 60378 23
271 22561 25
4277 13331 25
5531 58272 25
58272 43431 12
58272 50910 19
50910 33871 23
33871 27068 8
27068 37923 17
37923 19426 22
19426 88983 1
19426 45860 6
45860 52599 3
52599 2785 2
2785 42239 15
42239 96040 6
96040 99709 10
45860 4151 24
4151 3901 1
3901 3212 19
3212 12390 8
3212 2477 23
4151 2454 25
6147 2405 25
6843 88932 25
21238 6765 25
22112 38743 25
38743 74040 8
38743 3074 15
28207 8995 25
8995 71873 4
71873 7359 7
7359 51050 2
8995 43270 11
7359 32009 20
32009 6067 8
6067 88433 10
51050 92308 23
7359 7592 24
51050 73727 24
71873 75748 24
75748 26937 11
26937 13084 2
13084 81373 12
13084 41882 23
29011 84530 25
32744 73544 25
73544 64764 1
73544 82388 9
82388 44396 4
82388 89415 12
89415 51380 8
44396 52305 13
51380 19753 14
82388 67045 24
67045 43068 4
43068 52907 14
52907 78897 22
43068 2990 23
2990 14485 3
2990 53817 5
14485 29808 10
29808 68820 1
44396 89941 25
53817 54977 25
90344 88851 25
90687 92174 25
92174 1095 3
1095 1889 4
1889 14689 5
1095 86622 7
86622 49541 12
1889 5757 23
49541 91357 23
49541 79767 25
90919 68612 25
68612 77382 7
77382 3590 21
3590 45641 5
3590 18495 6
18495 54643 5
54643 57377 3
57377 93586 14
93586 94042 10
94042 68600 5
68600 14429 6
93586 25855 15
25855 60784 19
60784 23131 11
23131 38900 15
23131 63959 24
77382 32556 25
32556 40942 1
40942 49600 1
49600 50670 7
50670 94262 7
32556 41403 15
32556 52389 16
52389 92800 2
52389 81443 18
81443 88994 7
88994 90832 16
88994 61709 17
92800 55630 20
90832 89193 21
89193 21107 11
49600 7198 23
7198 5392 17
5392 24959 8
92174 99559 25
95557 14582 25
14582 408 16
408 87194 9
408 4855 10
4855 40616 23
40616 60774 3
60774 68223 2
40616 35221 12
35221 73975 23
60774 72601 23
4855 5601 24
96040 37979 25
165 12983 26
283 911 26
911 18424 1
18424 1250 1
1250 27290 17
18424 5398 24
402 4994 26
612 60664 26
60664 8073 23
8073 72356 6
1046 2733 26
2733 5078 2
2733 55683 11
2733 62294 23
5078 68602 23
55683 11126 23
11126 38462 9
38462 64546 5
64546 7520 10
11126 27661 11
7520 26288 12
26288 96222 4
96222 56179 6
7520 16356 13
16356 9816 6
9816 79972 6
9816 66858 8
16356 27320 12
66858 23318 12
23318 62393 5
62393 26389 5
11126 83650 14
11126 88129 15
88129 76583 10
76583 71556 4
27661 43035 15
56179 1280 15
1280 36417 4
64546 71124 16
79972 65281 16
36417 69192 17
69192 61716 10
69192 91063 14
91063 83043 11
83043 22489 12
91063 10008 12
22489 31783 14
31783 63269 4
36417 92710 17
92710 24025 8
24025 58897 7
24025 49974 12
49974 60441 7
58897 85445 15
24025 17551 16
17551 10852 6
23318 14847 19
14847 6386 1
26288 52693 20
52693 99973 8
99973 57235 4
52693 66262 11
57235 63586 12
57235 31791 14
31791 43576 1
57235 72091 18
88129 36261 20
36261 64119 3
64119 29924 1
1280 43812 21
43812 95472 19
95472 51686 6
51686 44943 1
44943 78109 16
23318 36442 21
36442 35390 4
36442 47058 14
36417 87418 21
71556 71767 21
71767 46410 3
46410 53233 1
46410 56882 11
56882 89855 5
56882 63138 9
71767 31712 11
31712 23605 1
23605 82684 7
23605 21586 8
89855 7187 17
7187 5834 5
46410 75573 19
22489 7059 22
7059 24785 5
24785 36669 4
7059 77896 8
36669 4726 12
4726 27808 3
77896 1286 18
27808 43881 22
43881 24910 4
24910 62957 16
62957 93089 12
93089 48371 18
48371 54655 9
93089 89464 19
43881 6235 20
6235 665 3
6235 8085 6
8085 15030 15
15030 48771 4
15030 17468 9
48771 60416 9
54655 42067 21
42067 20316 21
20316 19664 7
19664 99388 9
44943 27532 22
27532 90961 20
21586 36653 23
57235 19269 23
19269 14125 3
19269 35943 8
19269 73827 13
665 18707 25
14847 15778 25
27808 55934 25
55934 43779 11
43779 93670 12
93670 72555 17
29924 12764 25
58897 27524 25
27524 49562 1
27524 14365 10
99388 67968 25
67968 34446 2
67968 51848 21
51848 54624 5
51848 41980 10
41980 43230 9
41980 93950 12
93950 87689 7
54624 66999 12
93950 28835 20
43230 49252 23
1072 49913 26
49913 52661 12
1286 45866 26
45866 39028 6
39028 11600 17
11600 5951 2
11600 40560 22
40560 22254 4
40560 10317 15
40560 91556 22
91556 35705 2
40560 37109 24
37109 17312 6
17312 29272 3
17312 8854 10
8854 30326 7
8854 3632 15
3632 258 7
258 22134 13
258 92142 15
22134 34882 16
