Algorithm: Prim's MST

MST edges:
0 17376 1
0 134 2
0 64435 10
64435 21341 11
134 11426 21
0 2075 22
2075 58029 24
58029 43421 7
134 576 25
576 2611 15
576 40444 26
43421 56971 28
56971 71973 1
56971 22482 13
22482 43071 23
43071 61540 1
61540 67484 12
67484 98907 27
134 524 29
524 416 1
524 14276 11
416 12690 14
12690 76404 3
76404 7199 5
12690 94843 10
7199 93142 11
7199 13584 16
94843 26029 17
26029 2669 16
524 1605 18
1605 5778 18
5778 403 2
5778 44192 3
403 8981 9
8981 41563 10
41563 52709 12
403 4750 16
4750 9464 16
9464 27578 15
8981 36483 17
1605 59840 18
76404 29748 18
403 2203 22
2203 36739 12
2203 44420 15
44420 62406 12
403 25838 22
2203 45004 22
7199 33338 23
33338 29268 23
29268 31530 16
44420 59664 23
59664 69809 4
59664 86932 10
59664 15224 11
15224 24099 9
15224 19750 17
86932 9856 20
9856 2166 18
2166 535 4
535 98292 14
535 47262 17
98292 98491 23
524 87930 24
87930 17901 4
17901 77131 7
17901 35747 9
17901 16354 13
16354 2764 3
2764 24526 3
24526 89945 2
16354 39413 4
39413 49114 13
49114 9821 10
35747 99717 14
9821 8503 15
16354 6055 16
6055 8941 6
8941 79488 13
79488 97882 22
97882 88623 3
8503 5883 23
535 50846 24
2203 7043 24
7043 17777 19
17777 87792 8
17777 58821 18
58821 15264 19
15264 50789 4
50789 49248 7
4750 5646 24
5646 53945 4
29748 71801 24
71801 48081 9
48081 27041 15
71801 9066 16
9066 50315 3
50315 61677 6
50315 84700 9
36739 79994 24
79994 70292 1
79994 21266 15
47262 50355 24
416 11707 25
11707 29405 6
29405 79396 5
29405 66348 11
79396 77166 21
29405 89825 24
79396 89938 24
89938 91184 14
89938 8578 15
8578 66507 15
8578 10341 16
10341 35269 7
8578 3301 19
3301 24404 3
24404 81530 2
3301 20270 7
20270 70946 3
20270 92204 7
24404 25224 10
25224 33124 2
33124 41733 1
25224 14724 9
33124 74277 11
3301 28249 12
41733 52094 12
70946 93854 12
28249 95631 13
14724 11466 14
81530 96128 15
33124 18273 19
18273 62558 1
62558 51668 1
18273 33172 10
18273 6026 17
25224 62511 20
89938 33102 22
33102 15495 1
33102 55595 10
10341 53185 24
53185 77270 3
14724 29762 25
15495 2040 25
