Algorithm: Prim's MST

MST edges:
0 1 9
1 4275 7
0 8124 12
8124 2190 8
2190 1700 13
1700 8252 3
8252 424 6
424 1080 12
1080 824 2
824 8202 4
8202 2453 3
8202 9428 6
824 567 7
567 9190 4
567 6465 5
567 1392 6
1392 2423 2
1392 20 5
20 102 2
102 7315 6
7315 9509 5
567 1485 6
567 70 9
824 9584 9
9584 5310 1
5310 9588 8
9588 1007 9
1007 2019 9
70 9665 10
9665 2841 7
2841 9376 6
9376 1503 1
1503 6498 3
6498 3577 1
9376 2484 6
2453 7671 10
7671 1612 4
1612 4892 4
4892 3488 3
7671 802 9
1612 742 10
742 7536 3
7536 1253 7
742 5856 9
1253 2991 9
3488 3228 11
802 118 12
118 8197 1
118 7 4
118 2482 4
118 5006 8
7 43 11
43 9481 4
43 1002 7
2482 2839 11
5006 8075 11
118 2144 13
2144 7288 5
2019 7683 13
3228 3657 13
1080 4840 14
4840 3802 2
3802 4045 10
4045 1486 10
1486 9593 5
5856 369 14
369 6903 6
6903 1336 11
6498 8622 14
8622 3256 1
20 2149 15
2149 6922 2
2149 7607 2
7607 535 2
7607 5131 8
535 355 10
355 1750 2
355 1101 4
355 8683 5
8683 6845 3
6845 6804 5
6804 6306 1
6306 8682 5
6804 895 5
355 121 6
121 5256 4
5256 7774 3
7774 1716 2
1716 3634 3
7774 546 4
121 1203 6
546 3081 6
1750 140 7
140 6094 2
140 1934 7
140 1116 8
1116 5157 1
1750 4278 8
4278 7699 7
3081 9603 8
8682 2075 8
2075 5038 5
5038 4408 4
895 5152 9
1203 7122 9
1116 9526 10
5131 4467 10
4467 5047 1
5047 3688 1
5152 2755 10
2755 9262 5
9262 2070 2
2070 5522 4
5522 7681 1
5522 3361 7
2070 7212 9
7212 7468 8
6306 9498 10
5157 571 11
571 142 4
142 6934 8
571 4439 8
4439 4953 9
5256 244 11
244 968 1
968 2331 2
244 1302 3
2331 1223 3
1223 5269 3
2331 5762 3
244 2536 5
968 9476 5
2536 165 9
9476 9653 10
9653 8449 4
8682 3192 11
3192 6138 3
3192 2550 9
9498 2725 11
2725 2578 3
2578 5500 5
5500 4018 3
4018 1691 6
1691 3547 1
3547 7574 8
7574 3292 6
3292 1196 3
1196 6258 1
1196 1977 8
3547 4250 10
